# era	id	name	description	prerequisites
Renaissance	chemical_recipe_books	Chemical Recipe Books	Printed and manuscript collections of recipes for medicines, pigments, metallurgy, glass, dyes, and household chemistry.	chemical_assay_laboratories,printing_press,dyed_textiles
Renaissance	public_art_academies	Public Art Academies	Formal institutions for teaching drawing, anatomy, perspective, painting, sculpture, theory, and artistic status.	perspective_in_art,public_museum_catalogs,art_conservation_workshops
Renaissance	insurance_brokerage_offices	Insurance Brokerage Offices	Broker offices matching shipowners, merchants, underwriters, claims, policies, premiums, and market information.	insurance_claims_adjustment,joint_stock_insurance_pools,merchant_accounting_manuals
Renaissance	military_engineer_corps	Military Engineer Corps	Professional engineers for fortifications, artillery positions, bridges, maps, mines, roads, and siege works.	military_map_rooms,artillery_fortification_schools,technical_drawing_standards
Renaissance	printed_theater_scripts	Printed Theater Scripts	Commercial publication and circulation of plays, performance texts, actor parts, stage directions, and literary drama.	theater_ticketing_systems,printing_press,early_copyright_printing_privileges
Industrial	standardized_screw_threads	Standardized Screw Threads	Common screw and bolt thread systems enabling interchangeable machinery, repairs, gauges, and mass production.	machine_tools_precision,interchangeable_parts,industrial_laboratories_standard_testing
Industrial	steam_shovel_excavators	Steam Shovel Excavators	Steam-powered earthmoving machines for canals, mines, railroads, foundations, quarries, and large public works.	steam_engine,machine_tools_precision,railroads
Industrial	urban_water_chlorination	Urban Water Chlorination	Chemical disinfection of municipal water to reduce waterborne disease in dense cities.	municipal_water_treatment,advanced_chemistry,public_health_statistics
Industrial	industrial_canning_lines	Industrial Canning Lines	Mechanized filling, sealing, sterilizing, labeling, and distribution systems for shelf-stable food.	canning_food_preservation,factory_system,food_cold_chain
Industrial	electric_arc_lighting	Electric Arc Lighting	Bright electric lighting systems for streets, factories, theaters, searchlights, and public spaces.	electric_generators_dynamos,electrical_lighting_systems,central_station_power
Industrial	railway_air_brakes	Railway Air Brakes	Compressed-air braking systems that improved train safety, speed, length, and coordination.	railroads,pneumatic_tools_compressed_air_power,industrial_safety_regulation
Industrial	telephone_directory_services	Telephone Directory Services	Number directories, operator assistance, business listings, updates, and printed reference infrastructure for telephone networks.	telephone_exchange,telephone_switchboards,typewriters
Industrial	municipal_gas_lighting	Municipal Gas Lighting	Town gas production, pipes, lamps, maintenance crews, meters, and contracts for public and domestic lighting.	industrial_gas_production,municipal_water_supply,urban_planning_grid_system
Industrial	mechanized_laundry	Mechanized Laundry	Steam, electric, chemical, and mechanical washing, wringing, drying, and ironing systems for households and institutions.	electrical_appliances_early,soap_making_basic,industrial_safety_regulation
Industrial	industrial_time_clocks	Industrial Time Clocks	Mechanical and electrical time recording devices for shifts, wages, attendance, and factory discipline.	standard_time_zones,factory_system,typewriters
Modern	relational_data_warehousing	Relational Data Warehousing	Structured analytical databases integrating operational data for reporting, planning, forecasting, and governance.	databases_relational_dbms,cloud_data_warehouses,enterprise_resource_planning
Modern	medical_linear_accelerators	Medical Linear Accelerators	Hospital radiation therapy machines using particle acceleration, imaging, planning software, and clinical safety systems.	particle_accelerators,radiology_departments,hospital_information_systems
Modern	laparoscopic_surgery	Laparoscopic Surgery	Minimally invasive surgery using cameras, insufflation, instruments, video displays, and specialized training.	endoscopy_video_systems,aseptic_surgery,hospital_information_systems
Modern	continuous_glucose_monitors	Continuous Glucose Monitors	Wearable sensors and software for tracking blood glucose and guiding diabetes treatment.	insulin_therapy,remote_patient_monitoring,electronics
Modern	smartphone_gps_navigation	Smartphone GPS Navigation	Mobile mapping and turn-by-turn routing using satellite receivers, sensors, maps, networks, and traffic data.	smartphones,satellite_navigation_receivers,mobile_broadband_networks
Modern	streaming_music_platforms	Streaming Music Platforms	Subscription and ad-supported music services using catalogs, recommendation, licensing, payments, and content delivery.	digital_music_distribution,digital_advertising_exchanges,content_delivery_networks
Modern	serverless_cloud_functions	Serverless Cloud Functions	Event-driven cloud execution environments with metering, APIs, scaling, deployment tooling, and managed operations.	cloud_computing_distributed_systems,container_orchestration,api_economy
Modern	digital_twin_infrastructure	Digital Twin Infrastructure	Dynamic digital models of buildings, factories, grids, vehicles, cities, and supply chains for monitoring and optimization.	internet_of_things_iot_ubiquitous_connectivity,cloud_data_warehouses,computer_aided_design_cad_software
Modern	electronic_health_records	Electronic Health Records	Structured clinical records integrating notes, medications, labs, imaging, orders, billing, and care coordination.	hospital_information_systems,databases_relational_dbms,public_key_infrastructure
Modern	cyber_threat_intelligence	Cyber Threat Intelligence	Collection and analysis of attacker infrastructure, malware, indicators, tactics, vulnerabilities, and risk reports.	security_information_event_management,cybersecurity_operations_centers,software_supply_chain_security
Future	in_situ_space_pharmaceuticals	In-Situ Space Pharmaceuticals	Production of medicines in orbital, lunar, Martian, and asteroid settlements using biofoundries and local supply chains.	offworld_biomanufacturing,ai_clinical_care_networks,interplanetary_supply_chains
Future	ai_governed_power_markets	AI-Governed Power Markets	Autonomous markets coordinating generation, storage, demand response, transmission, microgrids, and reliability pricing.	self_healing_microgrids,programmable_money_markets,adaptive_climate_grids
Future	mars_closed_loop_agriculture	Mars Closed-Loop Agriculture	Food systems for Martian habitats using recycled water, waste nutrients, controlled atmospheres, and resilient crops.	mars_surface_habitats,orbital_greenhouses,synthetic_ecosystem_restoration
Future	autonomous_lunar_construction_fleets	Autonomous Lunar Construction Fleets	Robot fleets that prepare sites, build roads, habitats, landing pads, power systems, and regolith shielding on the Moon.	lunar_resource_utilization,robotic_construction_swarms,lunar_mass_driver_exports
Future	quantum_secured_financial_networks	Quantum-Secured Financial Networks	Finance networks using post-quantum cryptography, quantum communications, identity, ledgers, and automated compliance.	quantum_resistant_blockchains,programmable_money_markets,quantum_internet
Future	generative_design_ecosystems	Generative Design Ecosystems	AI systems that design, simulate, manufacture, test, repair, and iterate products, buildings, drugs, and infrastructure.	ai_scientist_automated_discovery,molecular_assemblers_practical,digital_twin_infrastructure
Future	bioengineered_carbon_sinks	Bioengineered Carbon Sinks	Engineered ecosystems, crops, algae, microbes, soils, and monitoring systems for durable carbon removal.	synthetic_ecosystem_restoration,biofoundries_autonomous,planetary_scale_sensor_webs
Future	autonomous_ocean_restoration	Autonomous Ocean Restoration	Robotic and biological systems for reefs, fisheries, carbon cycling, pollution cleanup, and coastal resilience.	synthetic_ecosystem_restoration,autonomous_disaster_response_swarms,ocean_colonization_underwater_habitats_seasteading
Future	interstellar_probe_swarms	Interstellar Probe Swarms	Miniature and autonomous probe fleets launched toward nearby stars for science, mapping, communications, and precursor missions.	fusion_rockets,quantum_communications,ai_scientist_automated_discovery
Future	civilizational_risk_dashboards	Civilizational Risk Dashboards	Integrated monitoring and decision systems for biosecurity, climate, AI, nuclear, space, cyber, and infrastructure risks.	ai_treaty_verification_systems,planetary_scale_sensor_webs,post_quantum_security_migration
